code,code_level,food_category,food_group,major_food_code,minor_food_code,units,rse_indicator,percent_change_2021_22,percent_change_2019_20,significance,trend_2019_20,reliability_3yr_se,year,expenditure
9302,4,,,Delicatessen type sausages,,p,Medium,-9.155050816,4.565306866,,,4.24114341,1974,0.508794353
94,3,,Meat pastes and spreads,,,p,Very High,-50.71209797,-38.14666482,,,14.09735285,1974,0.826790824
95,3,,Takeaway meats,,,p,Medium,10.36160673,-23.24976773,yes,DOWN,4.180911576,1974,1.335585176
9501,4,,,Takeaway meat pies and pasties,,p,Very High,7.339967088,-33.18004137,,,16.12631529,1974,0.190797882
9502,4,,,Takeaway burger and bun,,p,High,9.809685971,-6.423706617,,,8.199500667,1974,0.063599294
9503,4,,,Takeaway kebabs,,p,Very High,39.64196215,-2.92950364,,,9.954210078,1974,0.127198588
9504,4,,,Takeaway sausages and saveloys,,p,Very High,53.3293105,-6.674199364,,,18.91050783,1974,0
9505,4,,,Takeaway meat based meals,,p,Medium,2.062038087,-32.19047088,yes,DOWN,4.946834853,1974,0.953989412
9506,4,,,Takeaway miscellaneous meats,,p,Very High,79.69493798,27.19711708,,,37.75148277,1974,
100123,2,Fish,,,,p,Low,-0.254628588,-2.023755114,,,2.031828766,1974,13.65234195
102,3,,"White fish, fresh, chilled or frozen",,,p,High,-4.489522652,12.22474209,,,5.908871648,1974,4.691966291
10201,4,,,"White fish, fresh or chilled",,p,High,-8.189118116,-1.793379251,,,6.369383299,1974,3.643860265
10202,4,,,"White fish, frozen",,p,Very High,7.563640049,86.09206274,,,13.26234114,1974,1.048106026
106,3,,"Herrings and other blue fish, fresh, chilled or frozen",,,p,Very High,-6.869652686,-28.63279038,,,11.60358955,1974,0.178021554
10601,4,,,"Herrings and other blue fish, fresh or chilled",,p,Very High,6.888934454,-22.51003489,,,12.87025604,1974,0.178021554
10602,4,,,"Herrings and other blue fish, frozen",,p,Very High,-59.68978533,-60.44712293,,,26.6498739,1974,
107,3,,"Salmon, fresh, chilled or frozen",,,p,Medium,-9.52539242,9.532342914,,,4.332192483,1974,0.141184497
10701,4,,,"Salmon, fresh or chilled",,p,Medium,-8.28480776,16.90550481,,,4.469051536,1974,0.141184497
10702,4,,,"Salmon, frozen",,p,Very High,-33.61393192,-59.30995597,yes,DOWN,15.1885294,1974,
10801,3,,"Blue fish, dried or salted or smoked",,,p,High,-19.69790066,-11.67905254,,,5.059662347,1974,0.457389366
11401,3,,"White fish, dried, salted or smoked",,,p,High,-43.05908623,-50.29546189,yes,DOWN,9.057610121,1974,0.578489517
117,3,,Shellfish,,,p,Medium,26.51399952,19.47232688,,,5.000308377,1974,0.259802747
11702,4,,,"Shellfish, fresh or chilled",,p,High,28.67000339,19.50317692,,,6.348763888,1974,0.17406784
11703,4,,,"Shellfish, frozen",,p,High,22.70041379,19.415146,,,7.722456586,1974,0.085734906
118,3,,Takeaway fish,,,p,High,22.49005257,-17.49880142,,DOWN,6.096913913,1974,2.358973256
119,3,,"Salmon, tinned",,,p,Very High,-13.22443126,-30.14629502,,,10.71768378,1974,1.301048933
120,3,,Other tinned or bottled fish,,,p,Medium,-6.251909301,-25.0166959,yes,DOWN,3.641956744,1974,1.056463322
121,3,,Ready meals and other fish products - frozen or not frozen,,,p,Medium,3.046959974,-2.063196305,,,2.723899032,1974,2.367229525
123,3,,Takeaway fish meals and fish products,,,p,High,3.044688142,53.64071155,,,10.52715531,1974,0.261772941
12304,4,,,Takeaway fish products,,p,Very High,-0.431156679,13.20445868,,,16.45726924,1974,0.053697014
12305,4,,,Takeaway fish based meals,,p,Very High,3.762203219,65.33944299,,,11.33568588,1974,0.208075928
12901,2,Eggs,,,,p,Low,28.69359194,21.27337883,yes,UP,1.836210352,1974,11.42997662
135148,2,Fats,,,,p,Low,31.49896935,23.57315509,yes,UP,1.787139399,1974,14.53706526
13501,3,,Butter,,,p,Medium,25.49015593,19.65544395,yes,,2.778849868,1974,7.228929744
138,3,,Margarine,,,p,Medium,41.38037757,35.35134372,yes,UP,3.415577663,1974,3.316720129
13801,4,,,Soft margarine,,p,Medium,40.58224611,32.88052924,yes,UP,3.511822647,1974,1.692457275
13802,4,,,Other margarine,,p,Very High,57.79624554,105.3028326,,,14.35632178,1974,1.624262854
139,3,,"Lard, cooking fat",,,p,Very High,69.65639014,18.66248682,,,11.83019313,1974,2.186731611
143,3,,Vegetable and salad oils,,,p,Medium,38.12409711,28.19033065,yes,,4.009123907,1974,1.190267413
14304,4,,,Olive oil,,p,High,19.83622626,17.92594198,,,5.926929612,1974,0.238053483
14305,4,,,Other vegetable and salad oils,,p,Medium,56.76083154,37.51494481,yes,UP,4.981397151,1974,0.95221393
148,3,,All other fats,,,p,Medium,21.90288746,11.67134517,,,3.129048179,1974,0.614416367
14802,4,,,Reduced fat spreads,,p,Medium,24.54805503,13.82261228,,,4.024711547,1974,0
14803,4,,,Low fat spreads,,p,High,16.44006622,13.73648912,,,7.250353697,1974,0.084035587
14805,4,,,Suet and dripping,,p,Very High,9.785627506,-12.76546235,,,14.9262165,1974,0.312550557
14807,4,,,Imitatation cream,,p,High,23.23945927,11.35397139,,,6.575953918,1974,0.217830223
150154,2,Sugar and preserves,,,,p,Medium,-4.188456933,5.242950307,,,2.773115765,1974,9.186113732
150,3,,Sugar,,,p,Medium,8.917612832,9.858893748,,,3.440238204,1974,6.392983801
151,3,,Jams and fruit curds,,,p,Medium,-24.77470891,-8.794442375,,,5.025953161,1974,1.280911126
152,3,,Marmalade,,,p,High,24.82435828,14.71783872,,,6.806636466,1974,0.883684451
153,3,,"Syrup, treacle",,,p,High,-12.30083511,20.11348894,,,7.291206623,1974,0.211289182
154,3,,Honey,,,p,High,-2.307114531,2.527187327,,,7.308167604,1974,0.417245172
t4,1,"Fresh and processed fruit and vegetables, including potatoes",,,,p,Low,2.590959755,0.914360435,,,1.124094135,1974,62.04683167
cat730,1,"Fresh and processed vegetables, including potatoes",,,,p,Very Low,8.640549137,4.601298576,,,1.018690555,1974,41.03611919
cat701,1,Fresh and processed potatoes,,,,p,Low,16.42533554,8.367573442,yes,,1.284062987,1974,13.91256088
155155,3,,Fresh potatoes,,,p,Low,18.12241973,-4.591484145,,DOWN,1.756534475,1974,8.163424285
15505,4,,,Fresh new potatoes [note 7],,p,Medium,28.29772878,5.229532479,,,3.527685485,1974,3.004634649
15506,4,,,Fresh baking potatoes [note 7],,p,Medium,38.50765617,1.891651846,,,4.101057247,1974,2.838775558
15504,4,,,Other fresh potatoes [note 7],,p,Low,8.826321279,-10.06832779,,DOWN,2.177335479,1974,2.320014078
cat710,2,,Processed potatoes,,,p,Low,16.02171249,12.0528916,yes,UP,1.5021303,1974,5.749136599
197,3,,,Chips and takeaway chips,,p,Medium,25.55501368,-3.106119678,,,2.49083888,1974,3.133197311
19702,4,,,,Chips - frozen or not frozen,p,Low,21.53767316,23.28053573,yes,UP,2.518107728,1974,1.187062226
19703,4,,,,Takeaway chips,p,Medium,29.94929259,-20.51138783,yes,DOWN,4.168927221,1974,1.946135085
198,3,,,Instant potato,,p,Very High,96.34378236,-18.56604077,,,26.91690615,1974,0.250699844
199,3,,,Canned potatoes,,p,Very High,22.42250084,-53.55490104,yes,DOWN,13.33002361,1974,0.202562307
200,3,,,Crisps and potato snacks,,p,Low,11.55624055,27.30182232,yes,UP,1.88524334,1974,1.917567655
201,3,,,"Other potato products, frozen or not frozen",,p,Medium,9.954610515,8.627466136,,,3.059231828,1974,0.245109482
cat811,1,"Fresh and processed fruit and vegetables, excluding potatoes",,,,p,Very Low,-0.56609046,-0.90669597,,DOWN,1.114127013,1974,48.13427079
cat720,1,"Fresh and processed vegetables, excluding potatoes",,,,p,Very Low,5.042873572,2.771755505,,,1.25935025,1974,27.12355831
162171,2,,Fresh green vegetables,,,p,Low,3.073993575,0.479042362,,,1.681858079,1974,5.84394339
16201,3,,,Fresh cabbages,,p,Medium,7.530589804,5.589085398,,,3.840480224,1974,1.603884965
