code,code_level,food_category,food_group,major_food_code,minor_food_code,units
32704,4,,,,Takeaway sauces and mayonnnaise,g
328,3,,,Stock cubes and meat and yeast extracts,,g
329,3,,,Jelly squares or crystals,,g
332,3,,,Ice cream tub or block,,ml
333,3,,,Ice cream products including takeaways,,ml
33302,4,,,,"Ice cream cornets, choc-ices, lollies with ice cream",ml
33303,4,,,,"Ice lollies, sorbet, frozen mousse, frozen yoghurt",ml
33304,4,,,,"Takeaway ice cream, ice cream products, milkshakes",ml
334,3,,,Salt,,g
339,3,,,Soya and novel protein foods,,g
340344,2,,Soft drinks,,,ml
340,3,,,"Soft drinks, concentrated, not low calorie [note 10]",,ml
341,3,,,"Soft drinks, not concentrated,  not low calorie",,ml
343,3,,,"Soft drinks, concentrated, low calorie [note 10]",,ml
344,3,,,"Soft drinks, not concentrated, low calorie",,ml
350355,2,,Confectionery,,,g
350,3,,,Chocolate bars - solid,,g
351,3,,,Chocolate bars - filled,,g
352,3,,,Chewing gum,,g
353,3,,,Mints and boiled sweets,,g
35301,4,,,,Mints,g
35302,4,,,,Boiled sweets,g
354,3,,,"Fudges, toffees, caramels",,g
355,3,,,Takeaway confectionery,,g
380389,2,,Alcoholic drinks,,,ml
381,3,,,Beers,,ml
382,3,,,Lagers and continental beers,,ml
383,3,,,Ciders and perry,,ml
384,3,,,Wine and champagne,,ml
38402,4,,,,"Champagne, sparkling wines and wine with mixer",ml
38403,4,,,,Table wine,ml
385,3,,,Spirits with mixer,,ml
386,3,,,Fortified wines,,ml
387,3,,,Spirits,,ml
388,3,,,Liqueurs and cocktails,,ml
389,3,,,Alcopops,,ml
