code,code_level,food_category,food_group,major_food_code,minor_food_code,units,rse_indicator_,percentage_change_since_2021_22,percentage_change_since_2019_20,significance,trend_since_2019_20_,reliability_of_3_year_percent_relative_se,year,quantity
150154,2,,Sugar and preserves,,,g,Low,-6.189871786,-10.71364598,,DOWN,2.508044709,1974,534.5955976
150,3,,,Sugar,,g,Medium,-3.251668146,-9.574130135,,DOWN,3.366334324,1974,458.163343
151,3,,,Jams and fruit curds,,g,Medium,-15.49832939,-15.00425028,,DOWN,3.896905065,1974,36.18902172
152,3,,,Marmalade,,g,High,10.03159412,-6.968099371,,,6.03545222,1974,27.05642187
153,3,,,"Syrup, treacle",,g,High,-26.32209048,-19.68373123,,,7.893429306,1974,8.063134189
154,3,,,Honey,,g,Medium,-9.354116118,-10.04606831,,,5.722361767,1974,5.123676809
t4,1,"Fresh and processed fruit and vegetables, including potatoes",,,,g,Low,-2.590761,-8.816872,yes,DOWN,1.082521,1974,3308.437373
cat730,1,"Fresh and processed vegetables, including potatoes",,,,g,Very Low,0.493069355,-6.815979407,yes,DOWN,1.014836943,1974,2577.634722
cat701,1,Fresh and processed potatoes,,,,g,Low,4.707295137,-5.587766784,,DOWN,1.290958351,1974,1436.863734
155,3,,,Fresh potatoes,,g,Low,5.918558064,-5.516145758,,DOWN,1.732171197,1974,1318.183511
15505,4,,,,Fresh new potatoes [note 7],g,Medium,25.293437,-5.139855909,,,3.541358503,1974,610.4228669
15506,4,,,,Fresh baking potatoes [note 7],g,Medium,22.72270624,9.538632849,,,4.034926601,1974,284.2916328
15504,4,,,,Other fresh potatoes [note 7],g,Low,-1.381387709,-9.226195109,,DOWN,2.160587496,1974,423.4690115
cat710,2,Processed potatoes,,,,g,Low,3.070633482,-5.687035429,,DOWN,1.642831865,1974,118.6802233
197,3,,,Chips and takeaway chips,,g,Low,10.77621843,-8.165989306,,DOWN,2.294815139,1974,81.33175741
19702,4,,,,Chips - frozen or not frozen,g,Medium,10.04190063,2.612784097,,,2.584949257,1974,33.4130016
19703,4,,,,Takeaway chips,g,Medium,14.77270715,-40.68060259,yes,DOWN,4.109088383,1974,47.91875581
198,3,,,Instant potato,,g,Very High,-42.003242,-48.14275404,,,32.55132549,1974,2.97347008
